,Unnamed: 0,Text,Sent,Vader_Sent
0,0,Very simple and effective way for new words for kids,Positive,Positive
1,1,Fh d Fcfatgv,Positive,Neutral
2,2,My son loved it. It is easy even though my son is in first grade. Highly recommend it.,Positive,Positive
3,3,"Brilliant A brilliant app that is challenging but great fun. The only thing I think could be better is if they grouped each difficulty together. Other than that, it's fantastic and I love playing it",Positive,Positive
4,4,Good I have gotten several updates and new games help out alot.,Positive,Positive
5,5,I love it If u don't spend no money you'll have fun any way,Positive,Positive
6,6,Walter mofokeng,Positive,Neutral
7,7,Best Emojis ever I've tried just about all of these emojis and this collection is by far the Best ,Positive,Positive
8,8,Animal hair salon This is the best game my niece ever had she learn how to use clipers so she can cut her cousin hair,Positive,Positive
9,9,Good,Positive,Positive
10,10,User friendly. Good mix of games play daily.  like fireworks when win a game.  Thanks.,Positive,Positive
11,11,Interesting game Please player vs player i really really loved this app so cant sleep without playing itD,Positive,Positive
12,12,Works very well. Found new quicker routes to places I've been going for years,Positive,Positive
13,13,"Awesome program, big up",Positive,Positive
14,14,Really fun app I love it its very fun you should buy it but there is some glitches but i rate 5 over all.,Positive,Positive
15,15,"Awesome So far game has no glitches. Nice graphics, very fun. Played for over an hour first time I play, couldn't put it down. This is the only game that I have purchased, best game I have played  Hopefully no problems in the future.",Positive,Positive
16,16,Great App This app really breaks down the Bible so that it can really be understood.,Positive,Positive
17,17,Mr  Brand Pretorius I use it alot .... and happy .... if posible please ad lynx 624 x 44DT Hohold over recticke  please please please,Positive,Positive
18,18,Fun It was cool,Positive,Positive
19,19,"Soopa fast Great app but it allways has my team getting beat Sort that out  there'll be another 50,000 downloading  LIVE SCORES,, ",Positive,Positive
20,20,"Paid for the App, now Pay for Levels I paid 3 for this wonderful app, and I beat all the levels, Now I have to pay an extra 1 for more levels...",Positive,Positive
21,21,"Great game Alot of honest fun and good design that doesn't force advertisements on you, good job Yahtzee.",Positive,Positive
22,22,Loved it PEOPLE it can't be updated it originally came out on PC,Positive,Positive
23,23,I love this game Its so fun,Positive,Positive
24,24,I love it jooo It is good beautiful,Positive,Positive
25,25,Amazing its really fun I have it on both of my devices,Positive,Positive
26,26,I really like this game only need a faster way to collect money any advice Thanks for the free game,Positive,Positive
27,27,I'm a human Shazam anyway But I still find myself needing a little extra help sometimes usually when a song I don't know is about to end,Positive,Positive
