,Text,is_pos
0,Ya no I'd ur going make an app make sure it works,false
1,STUPID ADDS THE STUPID ADDS POP UP EVERY 5 SECONDS 4 THAT DUMB GAME OF WAR OTHER THAN THAT... ALL U DO IS CHASE MICE AND WHEN U DONT WANT TO BE ON TIME MODE IT PUTS U ON ANYWAYS ,false
2,"WTF Needs way more detail. 1. Sun should go down at 830pm not 900am 2. Animals 3. TNT block, diamond blocks and all them rare ones 4 A mother fkin save button 5. People Planet of cubes has all, install it",false
3,I love this game. But all of a sudden it when I go play the next episode it will play the stupid ads and then it just sits on the loading page. I have to close and reopen the app every single time now. This is very frustrating. PLEASE FIX THIS ASAP,false
4,Mark Now I can't send photo n images pls fix it and no more icon,false
5,"No online matchmaking Wad a shame, for such brilliant game",false
6,Disappointed Won't go past the part to enter your name Fix it or give me my money back,false
7,Cards Problem I'll give certainly give 5 stars if cards are made stylish,false
8,Suxs I live near new orleans the biggest city in Louisiana. Would think it would be available but it's not. One city available for LA. Don't waste your money. Please refund my dollar ASAP.,false
9,Still doesn't find the highest scoring words 99 of the time. Can't use with WWF.,false
10,Crash Central Another update and still the additional levels won't load.... No chance of buying the latest episode until they do...,false
11,I am disappointed with this app I thought that the app would show you how to do it but it is just YouTube videos that crash my phone. I am going to have to get ride of it.,false
12,"I had it for a couple weeks then it froze up, I uninstalled it and now it won't reinstall.... Keep getting an error message... But I still get notifications... What's up with that HELP",false
13,keeps crashing,false
14,"Its a nic game Giving one star because no doubt its a lovely game, but you get only Thomas engine free rest all engines you have to purchase which is ver bad n sad. Developers could have come up with free version for all series",false
15,It doesn't work. I can't get the stars to move on phone like my friends does on her phone.  Wasted the fee for this app.,false
16,Waste of time and money I need refund please,false
17,Is this thing is only a picture,false
18,Hate It This thing crashes and has terrible music.    Worthless piece of s.,false
19,No dualshock support Why can you only use Moga controls on this game Xperia z3 and dual shock go hand in hand except with your game it seems. Fix it,false
20,Crashed crashed crashed It crashes at a certain point in the game every time. Waste of money.,false
21,You have to pay Lol,false
22,HATE No password recovery for my country HATE HATE HATE 2GO NOW,false
23,This game is only trying to make money So stupid you have to pay real money for new hero's learn how to make apps rookies,false
24,Great Ok,false
25,DO NOT GET THIS APP I got this app a couple of weeks ago and it has never worked I contacted the makers and they replied once but that is it. It still does not work Very disappointed Do not get this app,false
26,"Don,t like new update. Keeps bringing back puzzle previously finished.",false
27,Keeps crashing... Icons don't change I want my refund,false
28,Thought it would be good I installed this game but there is networking problem plz fix this I pretend don't download this game . fix networking problem I'll give 5 stars,false
29,Dose not work Cant get in to the game stuck on the start screen Please fix it and 5 stares for u if its fix,false
30,Won't let us enter name.would like money back you thieves. Stupid can't even play,false
31,Make it work online properly Loved it but sometimes it disconnects automatically. Try making it work with slow internet and most of the time it says no internet even on wifi or mobile data,false
32,Camera permission For real RIP Kyrell Tyler,false
33,Bakar Kitna ganda game hai ek star likhana ka liya diya es ko like larna ka liya nahi stupit,false
34,Bakwass Ver bakbass game.need to some changes,false
35,Couldn't even got inside.. no facebook I downloaded and found out it's only for facebook users. I don't have facebook then how can I use it. Deleted.  At least add google login.,false
36,Not what I wanted Ok so I downloaded this app and when I opened it the calibration was off by a lot And i couldn't see the whole screen. Not good for my android. Please make an upgrade for android. Thank u,false
37,Too simple Mainly ended up being a HOG. The few puzzle were far too simple and no interaction with characters.,false
38,Sucks This game has terrible gracious and sucks,false
39,don't have search option plz how I can search place,false
40,"I think it's pretty messed up when I purchase a app, spend money and data down loading it and it doesn't work  Freezes every time my kiss plays it FIX THE PROBLEM ",false
41,   ,false
42,"Please fix this Amanita I am stuck on 11 of 12 Achievements because the breaking out of jail did not register. If I replay, nothing happens. Achievement still inactive.",false
43,Ads man Wow how many ads do you gotta shove down my throat  Absolutely terrible.,false
44,They just steal your money 1 per minute. How much do the girls get paided They are on their 247  Total scam,false
45,Graphics not working properly Nexus 9 Game does not present itself properly. Field is entirely black. Players and uniforms are all blacked out,false
46,Used to work just fine.  Once my android phone was updated to 5.0 the app cannot copymove any file...  A fatal flaw since I paid for an app that doesnt do anything no more.,false
47,What happened Was the best ever. Now pop up ads on every page I go to. I have to search for the page I'm at all over again coz I can't go back. And one if the pop up ads links to this very page. You officially suck now.,false
48,"This is point and click call of duty. Three released in one year and a fourth coming soon. ReallyReally Don't waste your cash,this game is complete crap",false
49,"Had it as well for long time They really need to fix the lollipop issue.  Phones are moving forward not in reverse. I paid, so please fix for lollipop.",false
50,Reducing 5 to 2. The course I play Willowcreek is all screwed up. I tried to fix and seemed to help. Now its screwed up again. This is Willow Creek Sun City Arizona. I think somebody is  doing it wrong can it be locked when its fixed,false
51,"Average at best The 500 music theme is used throughout the entire game, seems like a rushed job, no tension with the dramatic music like the real life game, however graphics look good.   Verdict Not worth paying for im afraid. 410 for me.",false
52,STUPID There is no direction to go UNDER STUFF,false
53,"Pictures in Vault Older pictures can't be moved out. Error states You SD card is full. Back to vault now  But I clearly have space for it. I tried adding new picture into it and taking it out it works, just older photos won't work. Any quick fix",false
54,Good game still get ads. I paid for it why am I getting ads.,false
55,It thinks we are in Sydney....I'm in dunedin nz.....not very good,false
56,Needs to change a bit Not fun at all. Game takes money fast then give you too little to play anything after 3 hrs of waiting.,false
57,Still freezes Love the game itself but when i go to beat pops for the second time it freezes on the kill shot. I sent an email to the developers and recived nothing back. If this scam isn't fixed soon I'll have to find a way to get a refund.,false
58,Photos in the vault disappeared Updated the app now all the photos saved in photo vault have disappeared..... Kindly help me get back my photos,false
59,"To many ads I get why this game has ads but this isn't what I thought would happen I can't even go to the level screen without it popping up ads If I take the ads off, it crashes and I have to start all over",false
60,Error Error code 24,false
61,Will not open ...please refund,false
62,It worked for a few months but now it keeps shutting down Now I updated it and can no longer make any phone calls...are you kidding me,false
63,"Ridiculous I cannot open this app on my Galaxy Note 2. It prompts, 'this device is not authorised to play this game'. I want a refund.",false
64,Kent This app charged me twice for one product.  What's up with this,false
65,Doesn't work I bought and installed this app on my Huawei G6 but contactless function doesn't work at all.,false
66,"App is dead, no updates The developers have stopped supporting this app. It's full of bugs that will never be fixed and is a rip off to those of us who paid for the app",false
67,Don't like I very very very very very hate this game,false
68,Piece of junk Do not buy if you have a note 4. Give me a refund,false
69,"Shut the ads up OK, I understand the need for ads to pay for the game but there's no way to mute their juvenile music. That makes the game embarassing to play in a public place.",false
70,3rd class game. 3rd class game...,false
71,Awesome,false
72,Worth of money I can still use for anything i want FREE version. I've installed it because i wanted to restore one unsupported file but I didn't know i can use PC app.,false
73,Bad Just use a wired USB mic the app makes the game unplayable from the audio delay.,false
74,It takes to long to download,false
75,Doesnt allow exporting data Expected to save files and export since this is a paid version. What a disappointment Other apps can much more for a similar price. Also takes ages to get connected to the device.,false
76,Sucks Crashes like hell and won't let you post if does not feel like it  . Complete garbage,false
77,Won't let me play When I click play game it shows me Help Wanted and it loads and puts me in my home screen... REALLY Plus I am not scared of 5 nights at Freddy's l,false
78,"Crash Everytime after finishing the race, it crashed on my zenfone 2. I want a refund please",false
79,No sound Please fix this. HTC One M8,false
80,I hate it I can't get past the privet polecey  mabby if you change that I will rate it a five stars I would say I like playing this game but since I never got to play it I rather not if you make that improvement I mite install it agein,false
81,Hate it,false
82,Worst app ever.no use No point of downloading it.waste of battery.waste of time.DO NOT DOWNLOAD,false
83,"Still keeps crashing I know you guys updated the app twice within 23 days. I was promised a fix by the 4.12.4 update, but that didn't work. I'm now on the 4.12.5 version, but it still crashes on start up on my Samsung Galaxy S6 Edge.",false
84,"Unfortunately, it has stopped unexpectedly... I loved this game N0w I can't play it and I updated like they asked and this is what I get",false
85,"British centred questions I am buying in Ireland but all questions are Brit  centred. Also, when I saw this I wanted to return it and get refund but option was not visible.",false
86,Cannot use Insure app after update After last update app doesn't recognize me or allow me to refresh register.,false
87,Boring So it's boring basically,false
88,"What does it do I do not want this social network, but it is practically impossible to eliminate it from Android.",false
89,"Dumb You can just repeatedly press the same key and it plays the song,I'm gonna uninstall this app  gt",false
90,"I don't even know though I mean, it COULD have been fun. But the ad at the bottom of the screen kinda covered my shootpunch button, probably something under the ad that could have helped me drive the car too, but I wouldnt install again",false
91,Crap Doesn't work... though gps mandatory on... half star,false
92,"Its lacking Only thing that good about this app is that its Chica, but nothing really works well and its boring",false
93,Stole Money THIS GAME WILL STEAL YOUR MONEY. Decided to buy the Unlock Everything packet and it took my money and unlocked NOTHING.,false
94,"GARBAGE Don't waste your time on this unplayable game. Every time I even open it, the user interface stacks up on itself, So I Cant Even See The Screen. Broken app won't go 3 seconds without glitching up",false
95,Canadian Holiday's Bus times do not reflect Canadian holidays. All the arrival and departure times are incorrect.,false
96,Worst App This is one of the worst app I have seen in my life. Performance is worst and full of ads at every step,false
97,Disappointed Should have read the comments first...put it on Xperia z...cant play even one round  atm dont bother,false
98,It's not working Omg it was ma favourite game... After the Last updated it's not working please do something... Otherwise I will go crazy..                                                      Still u can't fix it,false
99,This is so not appropriete fir children in the volleyball one the guys privates are dangling out. My little 5 year old cousin was playing this and she asked me what that was. Try explaining that one to a 5 year old without traumatizing them.,false
100,Rubish app Used to luv it. Now it won't work on my note 4 . Can't load seating plan.,false
101,Very irritaing Ads cover the page and irrevlant,false
102,Exelent app This app can make safe driving and protect life,false
103,Sweet baby girl summer fun They only give you one,false
104,Fails to mention that it finished on the 31st May Real struggle to find this out until after it was purchased and stood in a location with no shaun,false
